	WATERBODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area	OBJECTID *	Shape *	EU_CD	MS_CD	VISS_MS_CD	NAMN	CATEGORY	WB	District	COMP_AUTH	Country	Version	URL_VISS	ObjVer	PopNamn	GVatten	UTL_EU_CD	UTL_MS_CD	Shape_Length	TYPOMR_KOD	TYPOMRNAMN	TYPE_AREA_NAME	TYPE_AREA_SUFFIX	WATER_DISTRICT_NAME
10	Sandgrönnfjärden	1	2	2006-12-31		22	652450-222116	SE1	SE652450-222116	SE1	SE	22	22	41144.833510000004	47015893.71	601.0	Polygon	SE35945E11-F397-4D82-A16E-E67CA3FE56E5	WA17146996	SE652450-222116	Sandgrönnfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE652450-222116	2010	Sandgrönnfjärden_(65.42,22.38)	N	 	 	41144.833510000004	22	22 - Bottenviken, inre kustvatten	Bottenviken, inre kustvatten		Bottenvikens vattendistrikt
11	Öregrunds kustvatten	3	2	2006-12-31		17	603870-181301	SE3	SE603870-181301	SE3	SE	17	17	395472.6058	643839192.8	441.0	Polygon	SE8A008E1E-AB3D-4C32-B9AE-C0A6382AF635	WA41656414	SE603870-181301	Öregrunds kustvatten	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE603870-181301	2010	Öregrunds kustvatten_(60.58,18.23)	N	 	 	395472.6058	17	17 - Södra Bottenhavet, yttre kustvatten	Södra Bottenhavet, yttre kustvatten		Norra Östersjöns vattendistrikt
12	Gällfjärden	3	2	2006-12-31		16	602400-183190	SE3	SE602400-183190	SE3	SE	16	16	65611.62311	26035739.83	437.0	Polygon	SE3B265D44-BE5B-4F7D-A4FC-0CCD1F218636	WA22860986	SE602400-183190	Gällfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE602400-183190	2010	Gällfjärden_(60.39,18.51)	N	 	 	65611.62311	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Norra Östersjöns vattendistrikt
13	Norrfjärden	3	2	2006-12-31		16	601300-184180	SE3	SE601300-184180	SE3	SE	16	16	32790.71367	13188041.18	431.0	Polygon	SE4BB378FA-9A0D-40BE-B07A-52B81B38B726	WA50139512	SE601300-184180	Norrfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601300-184180	2010	Norrfjärden_(60.21,18.7)	N	 	 	32790.71367	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Norra Östersjöns vattendistrikt
14	Havssvalget	3	2	2006-12-31		15	594845-191240	SE3	SE594845-191240	SE3	SE	15	15	40604.89912	33056831.48	415.0	Polygon	SE185149D0-3D19-471B-8CAE-23E8BE6943B5	WA99611530	SE594845-191240	Havssvalget	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE594845-191240	2010	Havssvalget_(59.8,19.18)	N	 	 	40604.89912	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
15	Stockholms skärgårds s n	3	2	2006-12-31		15	594000-193501	SE3	SE594000-193501	SE3	SE	15	15	53953.804189999995	64657791.3	403.0	Polygon	SE5B4ADA58-D6BD-4491-A8FB-DF910C988C19	WA27944676	SE594000-193501	Stockholms skärgårds s n	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE594000-193501	2010	Stockholms skärgårds s n_(59.7,19.54)	N	 	 	53953.804189999995	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
16	Uddjupet	3	2	2006-12-31		15	593760-192625	SE3	SE593760-192625	SE3	SE	15	15	71276.62224	136064330.6	398.0	Polygon	SE65E9D53F-9F40-4A07-842E-9599AC1A3C91	WA98113650	SE593760-192625	Uddjupet	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593760-192625	2010	Uddjupet_(59.64,19.43)	N	 	 	71276.62224	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
17	Gräsköfjärden	3	2	2006-12-31		12	594000-190500	SE3	SE594000-190500	SE3	SE	12n	12	61536.050189999994	51971656.3	402.0	Polygon	SE04C56951-7435-41E5-8541-E48EB4C9A2A8	WA34139141	SE594000-190500	Gräsköfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE594000-190500	2010	Gräsköfjärden_(59.68,19.11)	N	 	 	61536.050189999994	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
18	Nåtfjärden	3	2	2006-12-31		15	593860-192000	SE3	SE593860-192000	SE3	SE	15	15	51561.55192	28128743.11	400.0	Polygon	SE773815D7-B674-45FA-9644-7C01AEE92C51	WA90347967	SE593860-192000	Nåtfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593860-192000	2010	Nåtfjärden_(59.64,19.33)	N	 	 	51561.55192	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
19	Blidösund	3	2	2006-12-31		12	593820-185500	SE3	SE593820-185500	SE3	SE	12n	12	33899.38652	5946411.917	399.0	Polygon	SE655FD282-9C88-4186-A9E2-EC301ADE5D79	WA13547710	SE593820-185500	Blidösund	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593820-185500	2010	Blidösund_(59.63,18.89)	N	 	 	33899.38652	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
20	Stenfjärden	3	2	2006-12-31		15	593500-193255	SE3	SE593500-193255	SE3	SE	15	15	54990.93436	66584388.43	395.0	Polygon	SE6098EEE7-7F0C-4D1D-9791-3B0AB84CB9AB	WA55744608	SE593500-193255	Stenfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593500-193255	2010	Stenfjärden_(59.59,19.52)	N	 	 	54990.93437	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
21	Stockholms skärgårds m kustvatten	3	2	2006-12-31		15	592100-192001	SE3	SE592100-192001	SE3	SE	15	15	302916.7686	505426030.4	362.0	Polygon	SEA857C7F8-4CA0-4715-8ECE-B534EFD447B9	WA64348924	SE592100-192001	Stockholms skärgårds m kustvatten	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592100-192001	2010	Stockholms skärgårds m kustvatten_(59.24,19.07)	N	 	 	302916.7686	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
22	Nö Kobbfjärden sek namn	3	2	2006-12-31		15	593500-191660	SE3	SE593500-191660	SE3	SE	15	15	74012.72137999999	58974427.47	394.0	Polygon	SEF0D0A71C-4925-4BEC-89D2-41BC112AF3EC	WA80213418	SE593500-191660	Nö Kobbfjärden sek namn	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593500-191660	2010	Nö Kobbfjärden sek namn_(59.57,19.25)	N	 	 	74012.72137999999	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
23	Lökharfjärden	3	2	2006-12-31		15	593330-192540	SE3	SE593330-192540	SE3	SE	15	15	43359.4868	42168710.33	391.0	Polygon	SEB8CB8F00-2303-4005-ACCF-93834AD8F704	WA55308185	SE593330-192540	Lökharfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593330-192540	2010	Lökharfjärden_(59.55,19.39)	N	 	 	43359.4868	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
24	Skatfjärden	3	2	2006-12-31		12	593460-184890	SE3	SE593460-184890	SE3	SE	12n	12	95745.60201	26424452.7	392.0	Polygon	SE11DE26EB-2CCD-4163-82E9-167FA5839512	WA54541051	SE593460-184890	Skatfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593460-184890	2010	Skatfjärden_(59.55,18.8)	N	 	 	95745.60201	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
25	Kobbfjärden	3	2	2006-12-31		15	593180-191280	SE3	SE593180-191280	SE3	SE	15	15	38543.32344	44102630.58	389.0	Polygon	SEA72318E4-E32A-4057-94F4-C07C84AB048D	WA73695003	SE593180-191280	Kobbfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593180-191280	2010	Kobbfjärden_(59.54,19.18)	N	 	 	38543.32344	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
26	Högfjärden	3	2	2006-12-31		15	593000-193000	SE3	SE593000-193000	SE3	SE	15	15	86921.98014	146720372.4	387.0	Polygon	SEF6E8E519-4EBD-4F26-84C1-957955B5B2DF	WA14529553	SE593000-193000	Högfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593000-193000	2010	Högfjärden_(59.47,19.44)	N	 	 	86921.98014	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
27	Ormskärsfjärden sek namn	3	2	2006-12-31		15	593000-192000	SE3	SE593000-192000	SE3	SE	15	15	91464.88446	87730227.21	386.0	Polygon	SE1D43FAAC-E31F-4D4F-B611-B86036D4358E	WA80741734	SE593000-192000	Ormskärsfjärden sek namn	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593000-192000	2010	Ormskärsfjärden sek namn_(59.48,19.26)	N	 	 	91464.88446	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
28	Gälnan	3	2	2006-12-31		12	593080-184500	SE3	SE593080-184500	SE3	SE	12n	12	99152.32632000001	53297738.37	388.0	Polygon	SE5724765A-D3C1-4DEB-9029-D0B2ED21FE0A	WA57569412	SE593080-184500	Gälnan	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593080-184500	2010	Gälnan_(59.52,18.77)	N	 	 	99152.32632000001	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
29	Östra Saxarfjärden	3	2	2006-12-31		12	592790-183000	SE3	SE592790-183000	SE3	SE	12n	12	79050.81561	31128303.17	384.0	Polygon	SE66F4C832-FBB7-40B9-A41B-5E29E07E6B49	WA55658003	SE592790-183000	Östra Saxarfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592790-183000	2010	Östra Saxarfjärden_(59.46,18.51)	N	 	 	79050.81561	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
30	Björkskärsfjärden	3	2	2006-12-31		15	592000-190500	SE3	SE592000-190500	SE3	SE	15	15	184303.6118	222173197.0	359.0	Polygon	SE7BDADC6A-E638-4873-8202-D7AD561C3DC6	WA11973374	SE592000-190500	Björkskärsfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592000-190500	2010	Björkskärsfjärden_(59.38,19.06)	N	 	 	184303.6118	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
31	Gillögafjärden	3	2	2006-12-31		15	592500-191750	SE3	SE592500-191750	SE3	SE	15	15	81877.12599	88121532.64	375.0	Polygon	SED62C57CB-767C-4760-97FD-37BFC6B1EE29	WA73698062	SE592500-191750	Gillögafjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592500-191750	2010	Gillögafjärden_(59.41,19.3)	N	 	 	81877.12599	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
32	Möja västerfjärd	3	2	2006-12-31		12	592500-185000	SE3	SE592500-185000	SE3	SE	12n	12	51178.53798	25807001.55	374.0	Polygon	SE45C46A2E-674D-41A7-8528-B24529A2E08C	WA72009678	SE592500-185000	Möja västerfjärd	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592500-185000	2010	Möja västerfjärd_(59.44,18.84)	N	 	 	51178.53798	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
33	Lindalssundet	3	2	2006-12-31		12	592547-182720	SE3	SE592547-182720	SE3	SE	12n	12	13576.15415	2674147.567	377.0	Polygon	SE0A5411D9-27D4-4A37-B879-520CF24A16CD	WA61049525	SE592547-182720	Lindalssundet	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592547-182720	2010	Lindalssundet_(59.42,18.45)	N	 	 	13576.15415	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
34	Skagsfjärden	3	2	2006-12-31		12	592400-184400	SE3	SE592400-184400	SE3	SE	12n	12	109661.3173	24515814.63	370.0	Polygon	SE13973294-5C44-46BC-AEC2-F6E753A3545F	WA44553969	SE592400-184400	Skagsfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592400-184400	2010	Skagsfjärden_(59.39,18.68)	N	 	 	109661.3173	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
35	Kodjupet	3	1	2006-12-31		24	592515-182020	SE3	SE592515-182020	SE3	SE	24	24	8289.051526000001	1091151.625	376.0	Polygon	SEF5BE168D-4FC1-4318-8410-968A298FE87B	WA22590357	SE592515-182020	Kodjupet	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592515-182020	2012_2	Kodjupet_(59.42,18.34)	N	 	 	8289.051526000001	24	24 - Stockholms inre skärgård och Hallsfjärden	Stockholms inre skärgård och Hallsfjärden		Norra Östersjöns vattendistrikt
36	Möja söderfjärd	3	2	2006-12-31		12	592090-185125	SE3	SE592090-185125	SE3	SE	12n	12	98732.47371	34568395.81	361.0	Polygon	SED092E22A-D6BD-4034-8D41-9096F5501E93	WA89479597	SE592090-185125	Möja söderfjärd	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592090-185125	2010	Möja söderfjärd_(59.37,18.87)	N	 	 	98732.47371	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
37	Norra Vaxholmsfjärden	3	1	2006-12-31		24	592468-182000	SE3	SE592468-182000	SE3	SE	24	24	14862.43231	2655923.1659999997	373.0	Polygon	SECED0BF5A-A358-431B-A281-1F466A1A7938	WA21593454	SE592468-182000	Norra Vaxholmsfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592468-182000	2012_2	Norra Vaxholmsfjärden_(59.41,18.36)	N	 	 	14862.43231	24	24 - Stockholms inre skärgård och Hallsfjärden	Stockholms inre skärgård och Hallsfjärden		Norra Östersjöns vattendistrikt
38	Sandöfjärden	3	2	2006-12-31		12	592280-183550	SE3	SE592280-183550	SE3	SE	12n	12	42138.16711	14010920.18	365.0	Polygon	SEC6B69408-FC80-4FC0-8733-72ACECFBC995	WA83135258	SE592280-183550	Sandöfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592280-183550	2010	Sandöfjärden_(59.39,18.57)	N	 	 	42138.16711	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
39	Rindösundet	3	1	2006-12-31		24	592435-182400	SE3	SE592435-182400	SE3	SE	24	24	6810.422017	772809.2831	372.0	Polygon	SE41073D5A-5AB8-4F0C-B75E-FC59BE104055	WA17300549	SE592435-182400	Rindösundet	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592435-182400	2012_2	Rindösundet_(59.41,18.4)	N	 	 	6810.422017	24	24 - Stockholms inre skärgård och Hallsfjärden	Stockholms inre skärgård och Hallsfjärden		Norra Östersjöns vattendistrikt
40	Solöfjärden	3	1	2006-12-31		24	592315-182620	SE3	SE592315-182620	SE3	SE	24	24	33883.34137	6681326.405	367.0	Polygon	SE51C31013-0707-4ADF-850D-4879CDF50150	WA54107480	SE592315-182620	Solöfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592315-182620	2012_2	Solöfjärden_(59.38,18.44)	N	 	 	33883.34137	24	24 - Stockholms inre skärgård och Hallsfjärden	Stockholms inre skärgård och Hallsfjärden		Norra Östersjöns vattendistrikt
41	Torsbyfjärden	3	1	2006-12-31		24	592135-182700	SE3	SE592135-182700	SE3	SE	24	24	42393.08949	12252383.51	363.0	Polygon	SEADD8F087-B080-452D-9B19-646230D085B1	WA41522409	SE592135-182700	Torsbyfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592135-182700	2012_2	Torsbyfjärden_(59.35,18.44)	N	 	 	42393.08949	24	24 - Stockholms inre skärgård och Hallsfjärden	Stockholms inre skärgård och Hallsfjärden		Norra Östersjöns vattendistrikt
42	Rödkobbsfjärden	3	2	2006-12-31		15	591910-185600	SE3	SE591910-185600	SE3	SE	15	15	24940.85411	11874661.46	356.0	Polygon	SED94A1641-80C0-40B4-AD10-35E8B00E0447	WA92389399	SE591910-185600	Rödkobbsfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE591910-185600	2010	Rödkobbsfjärden_(59.32,18.92)	N	 	 	24940.85411	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
43	Nämdöfjärden	3	2	2006-12-31		12	591200-183600	SE3	SE591200-183600	SE3	SE	12n	12	153869.2937	71587073.24	339.0	Polygon	SE7732C42A-0B22-408F-AAA6-6C052EE0914E	WA85834901	SE591200-183600	Nämdöfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE591200-183600	2010	Nämdöfjärden_(59.2,18.61)	N	 	 	153869.2937	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	Östergötlands samt Stockholms skärgård, mellankustvatten, norra		Norra Östersjöns vattendistrikt
44	Getholmsfjärden sek namn	3	2	2006-12-31		15	591790-185500	SE3	SE591790-185500	SE3	SE	15	15	23612.501780000002	5821119.278	352.0	Polygon	SEDCB2D6A5-BEA4-4432-B88C-64D72AFEA24A	WA54992880	SE591790-185500	Getholmsfjärden sek namn	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE591790-185500	2010	Getholmsfjärden sek namn_(59.3,18.91)	N	 	 	23612.501780000002	15	15 - Stockholms skärgård, yttre kustvatten	Stockholms skärgård, yttre kustvatten		Norra Östersjöns vattendistrikt
