OBJECTID *	Shape *	EU_CD	MS_CD	VISS_EU_CD	VISS_MS_CD	NAMN	TYP_NFS06	CATEGORY	WB	District	COMP_AUTH	Country	Version	URL_VISS	DATUM	ObjVer	PopNamn	GVatten	UTL_EU_CD	UTL_MS_CD	Shape_Length	Shape_Area	TYPOMR_KOD	TYPOMRNAMN
104	Polygon	SE6898640D-E4F7-4578-A110-06447CCA91D7	WA33043313	SE572980-115576	SE572980-115576	Stallviken	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572980-115576	2006-12-31	2010	Stallviken_(57.49,11.94)	N	 	 	13484.08528	3654936.185	1s	1s - Västkustens inre kustvatten, södra
105	Polygon	SE6DFA09A0-0AFF-4801-9D7B-D6CB68F1B15B	WA88358571	SE573044-115355	SE573044-115355	Risö-Säröarkipelagen	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573044-115355	2006-12-31	2010	Risö-Säröarkipelagen_(57.5,11.9)	N	 	 	28075.9525	9961946.038	1s	1s - Västkustens inre kustvatten, södra
106	Polygon	SE06028A79-292F-45BD-AC25-9C96D38861F5	WA31793085	SE573100-115580	SE573100-115580	Skörvallaviken	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573100-115580	2006-12-31	2010	Skörvallaviken_(57.51,11.94)	N	 	 	7938.737681	1026314.689	1s	1s - Västkustens inre kustvatten, södra
108	Polygon	SE640B6B6D-5696-4A08-961A-9D0A005BAA91	WA78397530	SE573173-115587	SE573173-115587	Maleviken	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573173-115587	2006-12-31	2010	Maleviken_(57.53,11.93)	N	 	 	3158.715903	414192.051	1s	1s - Västkustens inre kustvatten, södra
111	Polygon	SEBF02BDF6-044A-4EB4-B561-A23F9BCD911E	WA78651254	SE573322-115478	SE573322-115478	Kräklingeområdet	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573322-115478	2006-12-31	2010	Kräklingeområdet_(57.55,11.91)	N	 	 	12703.16247	2471040.005	1s	1s - Västkustens inre kustvatten, södra
112	Polygon	SE9DE94695-08ED-4BC4-B774-5330F6D27EB0	WA97301629	SE573500-115150	SE573500-115150	Askims fjord	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573500-115150	2006-12-31	2010	Askims fjord_(57.57,11.82)	N	 	 	100234.8222	49209565.23	1s	1s - Västkustens inre kustvatten, södra
116	Polygon	SE00A404B4-5B5D-4BFF-8BC2-D926E9C13B42	WA73141672	SE573547-114617	SE573547-114617	Styrsö- Vrångöområdet	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573547-114617	2006-12-31	2010	Styrsö- Vrångöområdet_(57.58,11.76)	N	 	 	24472.63913	4892562.664	1s	1s - Västkustens inre kustvatten, södra
117	Polygon	SEA12F45C1-FBDB-491E-9672-ECBFC28EC492	WA92640538	SE573657-114572	SE573657-114572	Halsviken	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573657-114572	2006-12-31	2010	Halsviken_(57.61,11.76)	N	 	 	6542.157399	794390.1573	1s	1s - Västkustens inre kustvatten, södra
118	Polygon	SEEBB9EEBE-76B5-4AC1-9D01-2BA0CC84A54E	WA38072012	SE573797-114618	SE573797-114618	Brännö- Styrsöområdet	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573797-114618	2006-12-31	2010	Brännö- Styrsöområdet_(57.63,11.79)	N	 	 	35885.35439	6368311.336	1s	1s - Västkustens inre kustvatten, södra
119	Polygon	SEBEC84670-195F-4456-961A-B634B214D12D	WA13941202	SE573860-115000	SE573860-115000	Asperöfjorden sek namn	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573860-115000	2006-12-31	2010	Asperöfjorden sek namn_(57.64,11.83)	N	 	 	29840.06228	9142009.436	1s	1s - Västkustens inre kustvatten, södra
125	Polygon	SEDBE68096-D811-4039-AC8A-A910A166551A	WA51265873	SE574000-114230	SE574000-114230	Dana fjord	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574000-114230	2006-12-31	2010	Dana fjord_(57.67,11.72)	N	 	 	47730.72231	33709261.81	1s	1s - Västkustens inre kustvatten, södra
132	Polygon	SEFCB47516-F1E7-4909-9BBF-08DF01D74F04	WA40121812	SE574330-114000	SE574330-114000	Stora Kalvsund	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574330-114000	2006-12-31	2010	Stora Kalvsund_(57.69,11.68)	N	 	 	27779.10913	7401466.906	1s	1s - Västkustens inre kustvatten, södra
133	Polygon	SE77DE27A3-CE19-4B79-9E6E-0827FAE23B62	WA59497776	SE574370-114250	SE574370-114250	Björköfjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574370-114250	2006-12-31	2010	Björköfjorden_(57.72,11.7)	N	 	 	19815.2469	5978291.116	1s	1s - Västkustens inre kustvatten, södra
139	Polygon	SE23B87999-D900-4349-BF56-05AD75884D61	WA14727562	SE574630-113940	SE574630-113940	Källö fjord	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574630-113940	2006-12-31	2010	Källö fjord_(57.77,11.65)	N	 	 	20353.2512	8625809.61	1s	1s - Västkustens inre kustvatten, södra
143	Polygon	SE9A094173-495C-4319-8EDA-807425FF1E51	WA43360889	SE574870-113795	SE574870-113795	Sälö fjord	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574870-113795	2006-12-31	2010	Sälö fjord_(57.8,11.63)	N	 	 	156664.1073	65740763.75	1s	1s - Västkustens inre kustvatten, södra
158	Polygon	SEFC73A0DC-95BF-4EBF-AC4E-6095ED6EDD72	WA80466205	SE575500-113750	SE575500-113750	Älgöfjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575500-113750	2006-12-31	2010	Älgöfjorden_(57.91,11.73)	N	 	 	59113.2264	26949157.09	1n	1n - Västkustens inre kustvatten, norra
163	Polygon	SE9ADFEA9A-CFFA-468C-9174-DD5A9CEB0EE2	WA84417938	SE575747-113237	SE575747-113237	Klädesholmenområdet	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575747-113237	2006-12-31	2010	Klädesholmenområdet_(57.95,11.55)	N	 	 	26131.91424	3862286.274	1n	1n - Västkustens inre kustvatten, norra
170	Polygon	SE3FE3D8D7-E0C1-4E12-9E6D-3D0E91302C49	WA53392579	SE580025-113168	SE580025-113168	Skärhamnområdet	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580025-113168	2006-12-31	2010	Skärhamnområdet_(58,11.51)	N	 	 	54679.4961	11886958.08	1n	1n - Västkustens inre kustvatten, norra
175	Polygon	SED578077B-0405-4953-9E17-E7C52CDC5B98	WA62889088	SE580325-113500	SE580325-113500	Stigfjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580325-113500	2006-12-31	2010	Stigfjorden_(58.08,11.61)	N	 	 	97291.90049	31948206.97	1n	1n - Västkustens inre kustvatten, norra
176	Polygon	SE2A8A69B2-60ED-4DE1-A668-7256368CED44	WA82274340	SE580338-112901	SE580338-112901	Kråke fjord	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580338-112901	2006-12-31	2010	Kråke fjord_(58.04,11.49)	N	 	 	42265.00577	10625685.49	1n	1n - Västkustens inre kustvatten, norra
180	Polygon	SE7B442EF6-5B73-43BE-9337-5D06B19945FA	WA42961269	SE580500-112970	SE580500-112970	Lyresund	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580500-112970	2006-12-31	2010	Lyresund_(58.1,11.52)	N	 	 	15170.12105	2344602.622	1n	1n - Västkustens inre kustvatten, norra
182	Polygon	SE0EF7A48A-6C8B-4CA5-B9ED-D4A286C263C2	WA42386295	SE580530-112700	SE580530-112700	s Käringöfjorden inre skärgård	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580530-112700	2006-12-31	2010	s Käringöfjorden inre skärgård_(58.11,11.45)	N	 	 	25502.00815	4805176.73	1n	1n - Västkustens inre kustvatten, norra
185	Polygon	SEE4DA5536-5A47-46F6-AD01-85E01F12C3A8	WA12109072	SE580610-113615	SE580610-113615	Kalvöfjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580610-113615	2006-12-31	2010	Kalvöfjorden_(58.11,11.61)	N	 	 	43377.12408	11290045.06	1n	1n - Västkustens inre kustvatten, norra
186	Polygon	SE945F61AB-7463-41BE-9B47-9203E79CC3AE	WA58894434	SE580650-113000	SE580650-113000	Boxvike kile	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580650-113000	2006-12-31	2010	Boxvike kile_(58.11,11.49)	N	 	 	7267.542377	700314.9474	1n	1n - Västkustens inre kustvatten, norra
189	Polygon	SEE7A03746-48EA-487A-822F-C95EFDB35425	WA88812584	SE580765-112501	SE580765-112501	n Käringöfjorden inre skärgård	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580765-112501	2006-12-31	2010	n Käringöfjorden inre skärgård_(58.13,11.39)	N	 	 	37917.94302	7041694.035	1n	1n - Västkustens inre kustvatten, norra
190	Polygon	SE8F8296A6-42AD-4DC3-8682-D9A77AAB6DFC	WA41833575	SE580860-114560	SE580860-114560	Tången området	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580860-114560	2006-12-31	2010	Tången området_(58.08,11.46)	N	 	 	15238.83076	3595616.929	1n	1n - Västkustens inre kustvatten, norra
200	Polygon	SE9F445B31-715A-44BF-8098-FCE59AA36023	WA80111012	SE581338-112332	SE581338-112332	Grundsundsområdet	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581338-112332	2006-12-31	2010	Grundsundsområdet_(58.22,11.39)	N	 	 	10157.50412	2221164.318	1n	1n - Västkustens inre kustvatten, norra
211	Polygon	SE5970DC14-34EF-4422-A11F-18DB86AC2D89	WA28341915	SE581748-112411	SE581748-112411	Saltö fjord	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581748-112411	2006-12-31	2010	Saltö fjord_(58.28,11.4)	N	 	 	66960.78161	22538091.58	1n	1n - Västkustens inre kustvatten, norra
215	Polygon	SE7294F0FE-37BE-41B3-B5AB-5222F98B2457	WA68995220	SE581853-112736	SE581853-112736	Trälebergskile	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581853-112736	2006-12-31	2010	Trälebergskile_(58.31,11.46)	N	 	 	4171.787157	631176.5281	1n	1n - Västkustens inre kustvatten, norra
219	Polygon	SE04403C1C-A9AC-42AF-9757-C46F60DA6F42	WA22406332	SE582000-112350	SE582000-112350	Yttre Brofjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582000-112350	2006-12-31	2010	Yttre Brofjorden_(58.33,11.39)	N	 	 	19641.36253	6017429.58	1n	1n - Västkustens inre kustvatten, norra
222	Polygon	SE9F40D638-CDE8-4B9D-BFA2-42FD18009E82	WA88177455	SE582040-112157	SE582040-112157	Slaholmen området	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582040-112157	2006-12-31	2010	Slaholmen området_(58.34,11.37)	N	 	 	1896.322355	151259.8481	1n	1n - Västkustens inre kustvatten, norra
226	Polygon	SE07D744B6-0A7D-4466-9510-0387DE164D69	WA11443142	SE582147-111771	SE582147-111771	Kungshamn s skärgård	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582147-111771	2006-12-31	2010	Kungshamn s skärgård_(58.35,11.24)	N	 	 	24855.96847	6007959.835	1n	1n - Västkustens inre kustvatten, norra
230	Polygon	SEFFC613C1-48FD-45D3-A1BE-A42880B026C5	WA25111012	SE582210-111880	SE582210-111880	Hovenäset området	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582210-111880	2006-12-31	2010	Hovenäset området_(58.36,11.31)	N	 	 	50888.96141	9709162.386	1n	1n - Västkustens inre kustvatten, norra
231	Polygon	SEB2ACC251-4F67-49E0-A42B-6FCE27EDC91C	WA32527968	SE582230-112255	SE582230-112255	Åbyfjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582230-112255	2006-12-31	2010	Åbyfjorden_(58.4,11.4)	N	 	 	34703.11255	8617755.603	1n	1n - Västkustens inre kustvatten, norra
232	Polygon	SEF4AE593A-6FF3-4824-9FAC-3C9FD5909B32	WA95561225	SE582302-111451	SE582302-111451	Kungshamn n skärgård	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582302-111451	2006-12-31	2010	Kungshamn n skärgård_(58.38,11.24)	N	 	 	23418.92142	2659056.668	1n	1n - Västkustens inre kustvatten, norra
234	Polygon	SEDC3BDC4E-FB8F-48C7-8396-FC1F4A86ABA2	WA42948887	SE582420-111370	SE582420-111370	Haby bukt	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582420-111370	2006-12-31	2010	Haby bukt_(58.4,11.23)	N	 	 	4812.117864	740627.0203	1n	1n - Västkustens inre kustvatten, norra
242	Polygon	SEF5666272-0A94-4752-88B6-AB4FEB21F33A	WA30021318	SE582665-111706	SE582665-111706	Hunnebostrand skärgård	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582665-111706	2006-12-31	2010	Hunnebostrand skärgård_(58.44,11.28)	N	 	 	26700.57244	3548575.431	1n	1n - Västkustens inre kustvatten, norra
246	Polygon	SE11FC64B9-3467-426E-8E4F-FA4F37539B96	WA92686252	SE582850-111760	SE582850-111760	Bottnefjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582850-111760	2006-12-31	2010	Bottnefjorden_(58.48,11.31)	N	 	 	35740.2556	5963885.326	1n	1n - Västkustens inre kustvatten, norra
248	Polygon	SEE2EFD753-4F25-4D9A-ADC3-17FBC84974FF	WA65225154	SE583050-110650	SE583050-110650	Heestrand området	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583050-110650	2006-12-31	2010	Heestrand området_(58.51,11.28)	N	 	 	18074.64699	1816480.677	1n	1n - Västkustens inre kustvatten, norra
250	Polygon	SEB70FC8D2-39BF-4030-851A-571A24B88D74	WA25730862	SE583160-111551	SE583160-111551	Hamburgsundsområdet	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583160-111551	2006-12-31	2010	Hamburgsundsområdet_(58.53,11.26)	N	 	 	16974.2243	1926528.427	1n	1n - Västkustens inre kustvatten, norra
253	Polygon	SEB103D3FD-5F36-40DE-98B1-B44249F6938E	WA33507043	SE583625-111300	SE583625-111300	Fjällbacka yttre skärgård	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583625-111300	2006-12-31	2010	Fjällbacka yttre skärgård_(58.55,11.19)	N	 	 	106320.1113	30489989.13	1n	1n - Västkustens inre kustvatten, norra
254	Polygon	SECA24EDEE-005B-4093-ACB4-4667F992ACDC	WA10574943	SE583710-111535	SE583710-111535	Fjällbacka inre skärgård	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583710-111535	2006-12-31	2010	Fjällbacka inre skärgård_(58.58,11.29)	N	 	 	73125.05978	13430042.95	1n	1n - Västkustens inre kustvatten, norra
268	Polygon	SE69A3C20F-B99C-4F34-9F15-9726D91CFA8E	WA99651697	SE584030-111400	SE584030-111400	Grebbestad inre skärgård	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584030-111400	2006-12-31	2010	Grebbestad inre skärgård_(58.66,11.21)	N	 	 	49612.12214	8606519.512	1n	1n - Västkustens inre kustvatten, norra
277	Polygon	SED078BB81-CE02-42C5-B34E-28887670CC84	WA71592735	SE584363-110971	SE584363-110971	s Långebyområdet	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584363-110971	2006-12-31	2010	s Långebyområdet_(58.7,11.2)	N	 	 	24461.9974	5062800.984	1n	1n - Västkustens inre kustvatten, norra
279	Polygon	SEC2B03CEE-BBA6-4FC9-8015-9A2FD75D9E08	WA41778966	SE584400-116000	SE584400-116000	n Långebyområdet	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584400-116000	2006-12-31	2010	n Långebyområdet_(58.74,11.16)	N	 	 	30938.88123	8139259.994	1n	1n - Västkustens inre kustvatten, norra
285	Polygon	SE2CE046ED-8B78-4EB2-BB71-14983227CD6F	WA55891220	SE584450-111445	SE584450-111445	Sannäsfjorden sek namn	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584450-111445	2006-12-31	2010	Sannäsfjorden sek namn_(58.75,11.2)	N	 	 	32577.27285	4337683.399	1n	1n - Västkustens inre kustvatten, norra
288	Polygon	SE8290CAF2-DAE1-4984-8F16-B1E6AC754F4C	WA17424510	SE584670-111300	SE584670-111300	Tanumskilen	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584670-111300	2006-12-31	2010	Tanumskilen_(58.77,11.23)	N	 	 	11055.37829	1057219.772	1n	1n - Västkustens inre kustvatten, norra
290	Polygon	SE530FFA76-376F-4603-88A6-021338FA6FE0	WA23373919	SE584725-111050	SE584725-111050	Lindöfjorden sek namn	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584725-111050	2006-12-31	2010	Lindöfjorden sek namn_(58.76,11.18)	N	 	 	36347.92135	5811918.585	1n	1n - Västkustens inre kustvatten, norra
291	Polygon	SE1DA138CD-6843-406D-920A-30468C373FA0	WA35036560	SE584750-111185	SE584750-111185	Stridsfjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584750-111185	2006-12-31	2010	Stridsfjorden_(58.79,11.2)	N	 	 	20279.3955	4899745.672	1n	1n - Västkustens inre kustvatten, norra
295	Polygon	SEFBDB0AEB-A7BF-4837-8BC2-9B9695A6F158	WA49137674	SE584890-110950	SE584890-110950	Råssö-Resöfjorden sek namn	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584890-110950	2006-12-31	2010	Råssö-Resöfjorden sek namn_(58.82,11.18)	N	 	 	64171.21693	14415867.82	1n	1n - Västkustens inre kustvatten, norra
303	Polygon	SEDD6B589C-A7A5-4E88-B32C-39DEF2AA5A40	WA38197731	SE585160-110880	SE585160-110880	Flo	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585160-110880	2006-12-31	2010	Flo_(58.86,11.15)	N	 	 	11520.69874	2979693.496	1n	1n - Västkustens inre kustvatten, norra
305	Polygon	SEFA771D54-F7DF-4829-9F83-E5EACAB5349F	WA88068444	SE585200-111140	SE585200-111140	Inre Tjärnöarkipelagen	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585200-111140	2006-12-31	2010	Inre Tjärnöarkipelagen_(58.87,11.16)	N	 	 	58965.73266	6704903.283	1n	1n - Västkustens inre kustvatten, norra
309	Polygon	SEB59EE505-3DCF-406D-937C-F3D45BF8A3E5	WA15800953	SE585290-110830	SE585290-110830	N Yttre Tjärnöarkipelage	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585290-110830	2006-12-31	2010	N Yttre Tjärnöarkipelage_(58.89,11.15)	N	 	 	31508.40361	3908361.687	1n	1n - Västkustens inre kustvatten, norra
315	Polygon	SE83F135E5-6A0F-477B-A70B-20ED9A0E5636	WA21864287	SE585600-110880	SE585600-110880	Strömstadsfjorden	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585600-110880	2006-12-31	2010	Strömstadsfjorden_(58.94,11.13)	N	 	 	49329.49332	8656094.42	1n	1n - Västkustens inre kustvatten, norra
318	Polygon	SE23F05C72-B3C9-4C6D-A98B-3EB1440A9A6D	WA35595048	SE585930-110800	SE585930-110800	Yttre Dynekilen	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585930-110800	2006-12-31	2010	Yttre Dynekilen_(58.99,11.14)	N	 	 	25486.86621	6108042.898	1n	1n - Västkustens inre kustvatten, norra
319	Polygon	SE40E0DD74-B31E-462F-848E-00F2983DD3A4	WA91216111	SE585990-111125	SE585990-111125	Dynekilen	1	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585990-111125	2006-12-31	2010	Dynekilen_(59,11.2)	N	 	 	14500.30658	1749020.302	1n	1n - Västkustens inre kustvatten, norra
